"Date","Unit","Treatment","Site","Plotid","herb","woody","stems10.50","stems50.100","stems100","Dens1","Dens2","Dens3","Dens4","DensMean","Notes"
"7/14/2011",3,"Clearcut","1HC",1,1,3,6,1,0,4,1,12,3,5,""
"7/18/2011",6,"Clearcut","4HC",29,1,1,0,0,0,95,94,92,93,93.5,""
"7/19/2011",6,"Clearcut","2HC",21,3,5,11,2,4,9,10,0,0,4.75,""
"7/11/2011",3,"Clearcut","3HN",10,2,2,1,0,0,1,0,0,0,0.25,""
"7/19/2011",6,"Clearcut","2NC",23,3,1,1,0,0,0,0,0,0,0,""
"7/18/2011",6,"Clearcut","3NN",28,0,0,0,0,0,94,91,93,93,92.75,""
"7/13/2011",3,"Clearcut","3NC",11,1,1,0,0,0,29,9,13,66,29.25,""
"7/11/2011",3,"Clearcut","4HC",13,3,1,0,0,0,93,91,91,90,91.25,""
"7/19/2011",6,"Clearcut","2HN",22,3,3,2,1,1,94,81,55,73,75.75,""
"7/11/2011",3,"Clearcut","4NC",15,3,2,3,0,0,2,0,0,3,1.25,""
